0,1,2,3,4,label
50,1,10,3,0,1
40,0,0,3,0,1
40,0,0,3,0,1
52,0,0,6,0,1
41,0,5,3,0,1
21,0,3,2,0,1
47,0,0,3,0,1
44,1,0,2,1,1
34,1,0,2,0,1
39,1,0,4,0,1
46,1,10,2,0,1
54,1,10,3,0,1
49,0,4,4,1,1
37,0,0,2,2,1
34,1,0,1,0,1
31,1,0,2,0,1
49,1,9,3,0,1
31,1,0,2,0,1
137,1,55,17,0,1
106,1,47,5,0,1
46,1,10,2,0,1
59,0,1,4,1,1
45,1,10,2,0,1
47,1,0,4,0,1
40,0,0,4,0,1
45,0,2,5,0,1
46,1,10,2,0,1
44,1,8,2,0,1
46,1,10,2,0,1
55,1,0,5,0,1
45,1,9,4,0,1
42,0,4,3,0,1
40,1,0,1,0,1
27,1,0,2,0,1
34,1,0,2,0,1
45,1,0,4,0,1
28,0,0,2,0,1
20,1,0,2,0,1
58,1,3,5,1,1
20,1,0,1,0,1
46,0,1,4,0,1
66,0,1,5,0,1
94,0,29,6,1,1
131,1,13,9,0,1
122,1,43,6,0,1
51,0,4,5,0,1
61,0,20,4,0,1
53,0,0,3,0,1
40,0,2,3,0,1
42,0,1,4,1,1
36,1,0,3,1,1
95,1,12,12,0,1
44,1,2,4,1,1
42,0,6,4,0,1
38,0,6,4,0,1
40,1,4,3,0,1
40,1,1,3,0,1
40,1,2,4,0,1
64,1,9,2,0,1
27,1,3,2,0,1
44,1,0,4,0,1
40,0,2,2,0,1
28,1,0,1,0,1
26,0,1,2,0,1
80,1,9,7,0,1
44,1,0,3,0,1
56,0,0,5,0,1
66,0,19,2,0,1
79,1,3,12,0,1
20,1,4,1,0,1
33,1,0,1,0,1
22,0,0,1,0,1
34,0,0,5,0,1
43,0,4,5,0,1
52,0,0,2,0,1
65,0,0,3,0,1
21,0,0,1,0,1
18,0,0,1,0,1
38,0,4,2,0,1
43,0,0,5,0,1
111,1,42,6,0,1
79,0,10,1,0,1
135,1,44,8,0,1
71,1,0,7,1,1
50,1,2,5,0,1
46,1,10,2,0,1
66,1,0,5,0,1
48,1,2,3,0,1
107,1,40,6,0,1
38,1,0,2,0,1
35,1,0,2,0,1
21,0,2,2,0,1
29,0,0,2,0,1
55,0,0,2,1,1
42,1,4,5,0,1
37,1,0,4,0,1
39,0,0,3,0,1
44,1,0,3,0,1
47,0,2,4,0,1
41,0,3,3,0,1
41,1,0,5,0,1
34,0,1,1,0,1
42,0,0,4,0,1
52,1,12,3,0,1
46,1,10,2,0,1
45,0,5,3,0,1
28,1,0,2,0,1
49,1,6,5,0,1
31,1,0,2,0,1
58,0,2,7,0,1
43,1,0,5,0,1
30,0,5,3,0,1
31,0,0,1,0,1
31,0,0,3,0,1
40,0,0,5,0,1
26,0,0,2,0,1
18,0,0,1,0,1
66,1,0,5,0,1
39,0,0,3,0,1
41,0,0,4,0,1
40,0,10,2,0,1
42,1,10,2,0,1
120,1,13,8,0,1
103,1,8,8,0,1
114,1,8,9,0,1
83,1,10,3,0,1
131,1,13,9,0,1
39,1,3,2,1,1
36,1,1,2,0,1
65,1,20,2,0,1
36,1,3,3,0,1
22,0,0,2,0,1
105,1,43,5,0,1
35,1,3,3,0,1
39,1,1,1,1,1
65,1,25,2,0,1
33,1,1,2,0,1
41,1,5,1,0,1
32,1,1,3,0,1
37,1,0,3,0,1
43,1,3,1,1,1
83,1,7,3,0,1
82,1,8,3,0,1
39,1,0,2,1,1
67,1,20,5,0,1
113,1,42,7,0,1
65,1,23,2,0,1
44,1,4,1,0,1
32,1,1,3,0,1
37,1,2,1,0,1
32,1,1,2,0,1
32,1,0,2,0,1
33,1,1,3,0,1
75,1,34,5,0,1
70,1,34,5,0,1
65,1,17,2,0,1
33,1,1,3,0,1
36,1,3,2,0,1
42,1,10,1,0,1
50,1,10,3,0,1
71,0,5,6,0,1
27,0,3,1,1,1
46,1,10,2,0,1
43,1,0,1,0,1
32,1,0,1,0,1
39,1,0,1,0,1
74,0,10,5,0,1
46,0,2,3,0,1
108,1,11,5,0,1
44,0,0,2,0,1
97,1,11,6,0,1
108,1,47,5,0,1
61,1,6,9,0,1
97,1,12,6,0,1
45,0,2,3,0,1
116,1,20,4,0,1
67,1,9,4,0,1
51,1,0,5,1,1
38,0,0,2,0,1
52,1,12,3,0,1
52,1,12,3,0,1
46,1,0,4,0,1
30,1,3,2,0,1
151,1,43,6,0,1
124,1,43,5,0,1
55,0,0,4,0,1
120,1,13,8,0,1
114,1,8,9,0,1
120,1,13,8,0,1
131,1,13,9,0,1
77,1,3,12,0,1
114,1,8,9,0,1
120,1,13,8,0,1
103,1,8,8,0,1
131,1,13,9,0,1
36,1,0,5,0,1
35,1,3,2,0,1
22,0,0,1,0,1
131,1,13,9,0,1
120,1,13,8,0,1
131,1,13,9,0,1
131,1,13,9,0,1
120,1,13,8,0,1
46,0,0,4,1,1
42,1,10,1,0,1
46,0,9,2,0,1
58,1,10,3,0,1
25,0,0,2,0,1
19,0,2,1,0,1
44,1,7,2,0,1
107,1,38,3,0,1
71,1,18,3,0,1
33,1,3,1,0,1
52,1,12,3,0,1
59,1,6,2,0,1
23,0,0,2,0,1
33,1,9,5,0,1
28,0,0,2,0,1
36,1,0,1,1,1
48,1,15,5,0,1
52,1,8,5,0,1
48,1,8,5,0,1
138,1,47,11,0,1
56,1,0,6,0,1
34,0,0,5,0,1
48,1,0,5,0,1
44,1,0,5,0,1
48,1,0,5,0,1
46,1,0,5,0,1
49,1,4,6,1,1
27,1,3,2,0,1
52,1,12,3,0,1
52,1,12,3,0,1
52,1,0,2,1,1
41,1,0,3,0,1
41,1,1,6,1,1
34,1,0,3,0,1
22,1,1,1,0,1
23,0,0,2,0,1
50,1,10,3,0,1
107,1,39,3,0,1
71,1,20,3,0,1
107,1,38,3,0,1
71,1,19,3,0,1
77,0,7,8,0,1
132,1,13,9,0,1
46,1,0,5,0,1
78,0,7,8,0,1
63,0,26,4,0,1
57,1,0,4,0,1
61,1,2,7,0,1
63,1,6,7,0,1
111,1,46,5,0,1
39,0,0,4,0,1
35,1,0,3,1,1
47,0,0,5,0,1
35,1,0,3,1,1
35,1,0,3,1,1
35,1,0,3,1,1
41,0,0,4,0,1
46,1,10,2,0,1
50,1,10,3,0,1
29,1,0,1,0,1
48,1,1,4,0,1
46,1,10,2,0,1
52,1,12,3,0,1
106,1,48,4,0,1
106,1,11,6,0,1
42,1,0,2,0,1
29,0,1,2,0,1
47,1,3,4,0,1
61,1,5,5,0,1
22,1,0,1,0,1
45,1,10,2,0,1
32,1,2,2,0,1
31,1,2,1,0,1
52,1,12,3,0,1
37,1,1,2,0,1
122,1,42,7,0,1
44,1,3,2,0,1
89,1,3,2,0,1
73,1,0,2,0,1
37,1,0,3,0,1
39,1,0,3,0,1
119,1,52,6,0,1
71,1,5,7,0,1
73,1,5,7,0,1
66,1,5,7,0,1
47,1,0,6,0,1
66,1,5,7,0,1
109,1,41,5,0,1
109,1,41,5,0,1
49,0,10,1,0,1
18,0,1,1,0,1
41,1,0,4,0,1
92,1,31,8,0,1
30,1,0,3,0,1
45,1,10,2,0,1
45,1,9,2,0,1
46,1,10,2,0,1
22,1,0,2,0,0
23,1,0,2,0,0
24,1,0,2,0,0
22,1,0,2,0,0
25,1,0,2,0,0
22,1,0,2,0,0
25,1,0,2,0,0
21,1,0,2,0,0
